"Output Current ","Efficiency@ Vin=5.0V","Efficiency@ Vin=5.1V","Efficiency@ Vin=5.2V"
"0.02","95.893","95.857","95.82"
"0.04","95.93","95.894","95.857"
"0.06","95.946","95.91","95.873"
"0.08","95.957","95.921","95.883"
"0.1","95.966","95.929","95.892"
"0.12000000000000001","95.974","95.937","95.899"
"0.14","95.981","95.944","95.907"
"0.16","95.989","95.952","95.913"
"0.18","95.996","95.958","95.92"
"0.19999999999999998","96.003","95.965","95.927"
